route_id,baseline_fleet,optimized_fleet,delta_fleet,baseline_annual_vehicle_miles,optimized_annual_vehicle_miles,delta_annual_vehicle_miles,baseline_annual_vehicle_hours,optimized_annual_vehicle_hours,delta_annual_vehicle_hours,baseline_labor_cost,optimized_labor_cost,delta_labor_cost,baseline_maintenance_cost,optimized_maintenance_cost,delta_maintenance_cost,baseline_energy_cost,optimized_energy_cost,delta_energy_cost,baseline_total_cost,optimized_total_cost,delta_total_cost,baseline_riders,optimized_riders,delta_riders,baseline_bus_emissions_grams,optimized_bus_emissions_grams,delta_bus_emissions_grams,baseline_rider_emissions_avoided_grams,optimized_rider_emissions_avoided_grams,delta_rider_emissions_avoided_grams,baseline_net_emissions_grams,optimized_net_emissions_grams,delta_net_emissions_grams,route_short_name,route_long_name,route_index,weekday_typical_buses,weekday_planned_trips,stop_count,touches_epc_tract,served_tract_count,scenario_id,run_label,cost_weight,emissions_weight,equity_weight,seed,iterations,run_id
1,20,20,0,600469.5001111294,600469.5001111294,0.0,72688.41317134723,72688.41317134723,0.0,13447356.436699238,13447356.436699238,0.0,3152464.8755834294,3152464.8755834294,0.0,810633.8251500247,810633.8251500247,0.0,17410455.13743269,17410455.13743269,0.0,18200.0,18200.0,0.0,1767005842.1514678,1767005842.1514678,0.0,3288834912.4449635,3288834912.4449635,0.0,-1521829070.2934957,-1521829070.2934957,0.0,1,CALIFORNIA,0,20,381.0,94.0,True,26,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
12,10,10,0,290628.8175264569,290628.8175264569,0.0,35181.38317425531,35181.38317425531,0.0,6508555.887237232,6508555.887237232,0.0,1525801.2920138987,1525801.2920138987,0.0,392348.90366071684,392348.90366071684,0.0,8426706.082911847,8426706.082911847,0.0,7800.0,7800.0,0.0,838328359.7690889,838328359.7690889,0.0,1528935149.249146,1528935149.249146,0.0,-690606789.4800571,-690606789.4800571,0.0,12,FOLSOM-PACIFIC,1,10,170.0,85.0,True,22,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
14,25,25,0,577535.5162269187,577535.5162269187,0.0,69912.19406957437,69912.19406957437,0.0,12933755.902871259,12933755.902871259,0.0,3032061.460191323,3032061.460191323,0.0,779672.9469063403,779672.9469063403,0.0,16745490.309968922,16745490.309968922,0.0,22100.0,22100.0,0.0,1661071695.838256,1661071695.838256,0.0,5420157606.555386,5420157606.555386,0.0,-3759085910.7171297,-3759085910.7171297,0.0,14,MISSION,2,25,270.0,88.0,True,25,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
14R,26,26,0,577375.150428878,577375.150428878,0.0,69892.78136770628,69892.78136770628,0.0,12930164.553025661,12930164.553025661,0.0,3031219.53975161,3031219.53975161,0.0,779456.4530789853,779456.4530789853,0.0,16740840.545856256,16740840.545856256,0.0,22800.0,22800.0,0.0,1658479371.9444356,1658479371.9444356,0.0,5919124348.381348,5919124348.381348,0.0,-4260644976.436912,-4260644976.436912,0.0,14R,MISSION RAPID,3,26,255.0,44.0,True,17,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
15,10,10,0,288426.6868474648,288426.6868474648,0.0,34914.80946048258,34914.80946048258,0.0,6459239.750189277,6459239.750189277,0.0,1514240.1059491902,1514240.1059491902,0.0,389376.02724407753,389376.02724407753,0.0,8362855.883382546,8362855.883382546,0.0,3700.0,3700.0,0.0,838701559.071478,838701559.071478,0.0,774434669.6237859,774434669.6237859,0.0,64266889.447692156,64266889.447692156,0.0,15,BAYVIEW HUNTERS POINT EXPRESS,4,10,158.0,46.0,True,13,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
18,5,5,0,181703.07552134249,181703.07552134249,0.0,21995.635457846718,21995.635457846718,0.0,4069192.559701643,4069192.559701643,0.0,953941.146487048,953941.146487048,0.0,245299.15195381237,245299.15195381237,0.0,5268432.858142504,5268432.858142504,0.0,2800.0,2800.0,0.0,523793303.16512364,523793303.16512364,0.0,607650396.0334734,607650396.0334734,0.0,-83857092.86834973,-83857092.86834973,0.0,18,46TH AVENUE,5,5,96.0,85.0,True,13,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
19,10,10,0,288516.842741787,288516.842741787,0.0,34925.72306874264,34925.72306874264,0.0,6461258.767717388,6461258.767717388,0.0,1514713.424394382,1514713.424394382,0.0,389497.7377014125,389497.7377014125,0.0,8365469.929813183,8365469.929813183,0.0,7100.0,7100.0,0.0,847361725.7367846,847361725.7367846,0.0,1752788156.6641214,1752788156.6641214,0.0,-905426430.9273368,-905426430.9273368,0.0,19,POLK,6,10,134.0,129.0,True,25,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
1X,8,8,0,12616.877360114608,12616.877360114608,0.0,1527.3062067507155,1527.3062067507155,0.0,282551.6482488824,282551.6482488824,0.0,66238.6061406017,66238.6061406017,0.0,17032.78443615472,17032.78443615472,0.0,365823.03882563877,365823.03882563877,0.0,600.0,600.0,0.0,36333532.27637636,36333532.27637636,0.0,108497030.93630758,108497030.93630758,0.0,-72163498.65993121,-72163498.65993121,0.0,1X,CALIFORNIA EXPRESS,7,8,8.0,49.0,True,13,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
2,5,5,0,68660.30432527229,68660.30432527229,0.0,8311.510523585592,8311.510523585592,0.0,1537629.4468633344,1537629.4468633344,0.0,360466.5977076795,360466.5977076795,0.0,92691.4108391176,92691.4108391176,0.0,1990787.4554101315,1990787.4554101315,0.0,2600.0,2600.0,0.0,200143685.9407329,200143685.9407329,0.0,269320981.44599444,269320981.44599444,0.0,-69177295.50526154,-69177295.50526154,0.0,2,SUTTER,8,5,76.0,52.0,True,15,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
22,25,25,0,553129.6390551927,553129.6390551927,0.0,66957.79841194437,66957.79841194437,0.0,12387192.706209708,12387192.706209708,0.0,2903930.605039762,2903930.605039762,0.0,746725.0127245102,746725.0127245102,0.0,16037848.32397398,16037848.32397398,0.0,22200.0,22200.0,0.0,1610025715.5913653,1610025715.5913653,0.0,3921842648.884892,3921842648.884892,0.0,-2311816933.2935266,-2311816933.2935266,0.0,22,FILLMORE,9,25,359.0,80.0,True,19,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
