geoid,epc_2050,epc_class,tract_population,route_count_touching_tract,baseline_service_intensity,optimized_service_intensity,delta_service_intensity,baseline_utility,optimized_utility,delta_utility,scenario_id,run_label,cost_weight,emissions_weight,equity_weight,seed,iterations,run_id
06075010101,0,Not EPC,2004.0,5,43.58313637850075,43.58313637850075,0.0,43.560706372870136,43.560706372870136,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075010102,0,Not EPC,1795.0,5,16.034379655031024,16.034379655031024,0.0,15.975674846270662,15.975674846270662,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075010201,0,Not EPC,2608.0,7,22.88952195669181,22.88952195669181,0.0,22.84766260086992,22.84766260086992,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075010202,0,Not EPC,1761.0,6,67.89515581369587,67.89515581369587,0.0,67.88064100509736,67.88064100509736,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075010300,0,Not EPC,3791.0,3,36.39489923117715,36.39489923117715,0.0,36.36815761612912,36.36815761612912,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075010401,0,Not EPC,2393.0,5,24.634993781058427,24.634993781058427,0.0,24.595984604440684,24.595984604440684,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075010402,0,Not EPC,2012.0,1,22.256410256410255,22.256410256410255,0.0,22.21341135894609,22.21341135894609,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075010500,0,Not EPC,3177.0,7,40.6576336518595,40.6576336518595,0.0,40.63362844771475,40.63362844771475,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075010600,1,Higher,3293.0,8,46.55844068677673,46.55844068677673,0.0,46.537413925058736,46.537413925058736,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075010701,0,Not EPC,3280.0,7,13.401798707674445,13.401798707674445,0.0,13.332362936469899,13.332362936469899,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075010702,0,Not EPC,1380.0,5,21.845205237213992,21.845205237213992,0.0,21.80143237592356,21.80143237592356,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075010800,0,Not EPC,4334.0,2,17.04394861392833,17.04394861392833,0.0,16.988528371862905,16.988528371862905,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075010901,0,Not EPC,2069.0,1,19.86885245901639,19.86885245901639,0.0,19.820934155795655,19.820934155795655,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075010902,0,Not EPC,2568.0,4,35.64109443636912,35.64109443636912,0.0,35.613802675154496,35.613802675154496,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075011001,0,Not EPC,2327.0,3,15.241496407723396,15.241496407723396,0.0,15.179925726371371,15.179925726371371,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075011002,0,Not EPC,1755.0,4,32.385060591876005,32.385060591876005,0.0,32.35510707427648,32.35510707427648,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075011101,0,Not EPC,2470.0,5,48.983519164565415,48.983519164565415,0.0,48.96351257005758,48.96351257005758,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075011102,0,Not EPC,2205.0,2,6.2810956443646155,6.2810956443646155,0.0,6.1437536770504,6.1437536770504,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075011200,0,Not EPC,2678.0,1,23.8125,23.8125,0.0,23.77219773299748,23.77219773299748,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075011300,1,Highest,2518.0,9,33.99450389576206,33.99450389576206,0.0,33.96592797987027,33.96592797987027,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075011700,1,High,1947.0,18,158.00749087178644,158.00749087178644,0.0,158.0012018599008,158.0012018599008,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075011800,1,Highest,1635.0,7,22.265136830279808,22.265136830279808,0.0,22.22215406137133,22.22215406137133,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075011901,0,Not EPC,2084.0,0,0.0,0.0,0.0,-1.0,-1.0,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075011902,0,Not EPC,2732.0,0,0.0,0.0,0.0,-1.0,-1.0,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075012001,0,Not EPC,1738.0,3,11.966609686609686,11.966609686609686,0.0,11.88948852509029,11.88948852509029,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075012002,0,Not EPC,2035.0,3,10.879109913685577,10.879109913685577,0.0,10.794928522380498,10.794928522380498,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075012100,0,Not EPC,3250.0,2,14.091503267973856,14.091503267973856,0.0,14.025240816696247,14.025240816696247,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
06075012202,1,Highest,3017.0,6,36.92314266451671,36.92314266451671,0.0,36.89677354187183,36.89677354187183,0.0,balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42
