scenario_id,run_label,cost_weight,emissions_weight,equity_weight,seed,iterations,run_id,iteration,current_objective,best_objective,accepted,event_case
balanced,Balanced Weights,1.0,1.0,1.0,42,1,balanced__iter_001__seed_42,1,-3.129414200195856,-3.129414200195856,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,4,balanced__iter_004__seed_42,1,-3.129414200195856,-3.129414200195856,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,4,balanced__iter_004__seed_42,2,-8.055753513667298,-8.055753513667298,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,4,balanced__iter_004__seed_42,3,-12.896508784730482,-12.896508784730482,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,4,balanced__iter_004__seed_42,4,-17.18425849972782,-17.18425849972782,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,16,balanced__iter_016__seed_42,1,-3.129414200195856,-3.129414200195856,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,16,balanced__iter_016__seed_42,2,-8.055753513667298,-8.055753513667298,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,16,balanced__iter_016__seed_42,3,-12.896508784730482,-12.896508784730482,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,16,balanced__iter_016__seed_42,4,-17.18425849972782,-17.18425849972782,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,16,balanced__iter_016__seed_42,5,-21.99114347264483,-21.99114347264483,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,16,balanced__iter_016__seed_42,6,-26.27396735191206,-26.27396735191206,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,16,balanced__iter_016__seed_42,7,-28.62106736701696,-28.62106736701696,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,16,balanced__iter_016__seed_42,8,-31.56287806030682,-31.56287806030682,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,16,balanced__iter_016__seed_42,9,-34.48008047449002,-34.48008047449002,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,16,balanced__iter_016__seed_42,10,-38.778397437468804,-38.778397437468804,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,16,balanced__iter_016__seed_42,11,-43.618311067092534,-43.618311067092534,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,16,balanced__iter_016__seed_42,12,-46.60586431071035,-46.60586431071035,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,16,balanced__iter_016__seed_42,13,-49.05945601994863,-49.05945601994863,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,16,balanced__iter_016__seed_42,14,-51.40758069744028,-51.40758069744028,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,16,balanced__iter_016__seed_42,15,-56.24733421928302,-56.24733421928302,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,16,balanced__iter_016__seed_42,16,-58.72207876132016,-58.72207876132016,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,1,-3.129414200195856,-3.129414200195856,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,2,-8.055753513667298,-8.055753513667298,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,3,-12.896508784730482,-12.896508784730482,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,4,-17.18425849972782,-17.18425849972782,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,5,-21.99114347264483,-21.99114347264483,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,6,-26.27396735191206,-26.27396735191206,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,7,-28.62106736701696,-28.62106736701696,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,8,-31.56287806030682,-31.56287806030682,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,9,-34.48008047449002,-34.48008047449002,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,10,-38.778397437468804,-38.778397437468804,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,11,-43.618311067092534,-43.618311067092534,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,12,-46.60586431071035,-46.60586431071035,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,13,-49.05945601994863,-49.05945601994863,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,14,-51.40758069744028,-51.40758069744028,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,15,-56.24733421928302,-56.24733421928302,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,16,-58.72207876132016,-58.72207876132016,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,17,-64.20252792379405,-64.20252792379405,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,18,-67.10793622834159,-67.10793622834159,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,19,-70.00951271668828,-70.00951271668828,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,20,-74.83808377047272,-74.83808377047272,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,21,-77.72121818925469,-77.72121818925469,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,22,-82.54990559439595,-82.54990559439595,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,23,-87.39070531507565,-87.39070531507565,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,24,-90.1233203685722,-90.1233203685722,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,25,-94.96453564590307,-94.96453564590307,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,26,-97.05189328335017,-97.05189328335017,True,improvement
balanced,Balanced Weights,1.0,1.0,1.0,42,64,balanced__iter_064__seed_42,27,-97.74519059302492,-97.74519059302492,True,improvement
