service_id,date,exception_type
1,20260216,2
3,20260216,1
1,20260217,2
M11,20260217,1
1,20260218,2
M21,20260218,1
1,20260219,2
M21,20260219,1
1,20260220,2
M21,20260220,1
1,20260223,2
M21,20260223,1
1,20260224,2
M21,20260224,1
1,20260225,2
M21,20260225,1
1,20260226,2
M21,20260226,1
1,20260227,2
M21,20260227,1
1,20260302,2
M21,20260302,1
1,20260303,2
M21,20260303,1
1,20260304,2
M21,20260304,1
1,20260305,2
M21,20260305,1
1,20260306,2
M21,20260306,1
1,20260309,2
M21,20260309,1
1,20260310,2
M21,20260310,1
1,20260311,2
M21,20260311,1
1,20260312,2
M21,20260312,1
1,20260313,2
M21,20260313,1
1,20260316,2
M21,20260316,1
1,20260317,2
M21,20260317,1
1,20260318,2
M21,20260318,1
1,20260319,2
M21,20260319,1
1,20260320,2
M21,20260320,1
1,20260323,2
M21,20260323,1
1,20260324,2
M21,20260324,1
1,20260325,2
M21,20260325,1
1,20260326,2
M21,20260326,1
1,20260327,2
M11,20260327,1
1,20260330,2
M11,20260330,1
1,20260331,2
M11,20260331,1
1,20260401,2
M11,20260401,1
1,20260402,2
M11,20260402,1
1,20260403,2
M11,20260403,1
1,20260406,2
M21,20260406,1
1,20260407,2
M21,20260407,1
1,20260408,2
M21,20260408,1
1,20260409,2
M21,20260409,1
1,20260410,2
M21,20260410,1
1,20260413,2
M21,20260413,1
1,20260414,2
M21,20260414,1
1,20260415,2
M21,20260415,1
1,20260416,2
M21,20260416,1
1,20260417,2
M21,20260417,1
1,20260420,2
M21,20260420,1
1,20260421,2
M21,20260421,1
1,20260422,2
M21,20260422,1
1,20260423,2
M21,20260423,1
1,20260424,2
M21,20260424,1
1,20260427,2
M21,20260427,1
1,20260428,2
M21,20260428,1
1,20260429,2
M21,20260429,1
1,20260430,2
M21,20260430,1
1,20260501,2
M21,20260501,1
1,20260504,2
M21,20260504,1
1,20260505,2
M21,20260505,1
1,20260506,2
M21,20260506,1
1,20260507,2
M21,20260507,1
1,20260508,2
M21,20260508,1
1,20260511,2
M21,20260511,1
1,20260512,2
M21,20260512,1
1,20260513,2
M21,20260513,1
1,20260514,2
M21,20260514,1
1,20260515,2
M21,20260515,1
1,20260518,2
M21,20260518,1
1,20260519,2
M21,20260519,1
1,20260520,2
M21,20260520,1
1,20260521,2
M21,20260521,1
1,20260522,2
M21,20260522,1
1,20260525,2
2,20260525,1
1,20260526,2
M21,20260526,1
1,20260527,2
M21,20260527,1
1,20260528,2
M21,20260528,1
1,20260529,2
M21,20260529,1
1,20260601,2
M21,20260601,1
1,20260602,2
M21,20260602,1
1,20260603,2
M21,20260603,1
1,20260604,2
M11,20260604,1
1,20260605,2
M11,20260605,1
