date,route_id,route_short_name,route_long_name,route_type,scheduled_trips,route_estimated_buses,route_trips_missing_block
2026-02-14,1,1,CALIFORNIA,3,229,12,0
2026-02-14,12,12,FOLSOM-PACIFIC,3,152,10,0
2026-02-14,14,14,MISSION,3,309,28,0
2026-02-14,14R,14R,MISSION RAPID,3,183,15,0
2026-02-14,15,15,BAYVIEW HUNTERS POINT EXPRESS,3,130,9,0
2026-02-14,18,18,46TH AVENUE,3,96,5,0
2026-02-14,19,19,POLK,3,102,7,0
2026-02-14,2,2,SUTTER,3,76,4,0
2026-02-14,22,22,FILLMORE,3,305,21,0
2026-02-14,23,23,MONTEREY,3,67,5,0
2026-02-14,24,24,DIVISADERO,3,202,14,0
2026-02-14,25,25,TREASURE ISLAND,3,110,4,0
2026-02-14,27,27,BRYANT,3,103,8,0
2026-02-14,28,28,19TH AVENUE,3,170,18,0
2026-02-14,29,29,SUNSET,3,166,15,0
2026-02-14,30,30,STOCKTON,3,192,13,0
2026-02-14,31,31,BALBOA,3,110,6,0
2026-02-14,33,33,ASHBURY-18TH ST,3,98,7,0
2026-02-14,35,35,EUREKA,3,57,2,0
2026-02-14,36,36,TERESITA,3,58,3,0
2026-02-14,37,37,CORBETT,3,54,3,0
2026-02-14,38,38,GEARY,3,228,24,0
2026-02-14,38R,38R,GEARY RAPID,3,174,12,0
2026-02-14,39,39,COIT,3,62,2,0
2026-02-14,43,43,MASONIC,3,112,10,0
2026-02-14,44,44,O'SHAUGHNESSY,3,188,15,0
2026-02-14,45,45,UNION-STOCKTON,3,142,7,0
2026-02-14,48,48,QUINTARA-24TH STREET,3,128,10,0
2026-02-14,49,49,VAN NESS-MISSION,3,263,19,0
2026-02-14,5,5,FULTON,3,319,22,0
2026-02-14,52,52,EXCELSIOR,3,58,2,0
2026-02-14,54,54,FELTON,3,95,9,0
2026-02-14,55,55,DOGPATCH,3,104,3,0
2026-02-14,56,56,RUTLAND,3,85,2,0
2026-02-14,57,57,PARKMERCED,3,92,3,0
2026-02-14,58,58,LAKE MERCED,3,66,3,0
2026-02-14,6,6,HAYES-PARNASSUS,3,115,5,0
2026-02-14,66,66,QUINTARA,3,86,2,0
2026-02-14,67,67,BERNAL HEIGHTS,3,98,2,0
2026-02-14,7,7,HAIGHT-NORIEGA,3,157,12,0
2026-02-14,8,8,BAYSHORE,3,262,26,0
2026-02-14,9,9,SAN BRUNO,3,187,18,0
2026-02-14,90,90,SAN BRUNO OWL,3,21,3,0
2026-02-14,91,91,3RD-19TH AVE OWL,3,25,8,0
2026-02-14,CA,CA,CALIFORNIA STREET CABLE CAR,5,146,6,0
2026-02-14,F,F,MARKET & WHARVES,0,142,14,0
2026-02-14,FBUS,FBUS,MARKET & WHARVES BUS,0,6,5,0
2026-02-14,J,J,CHURCH,0,153,11,0
2026-02-14,K,K,INGLESIDE,0,146,8,0
2026-02-14,KBUS,KBUS,INGLESIDE BUS,3,24,9,0
2026-02-14,L,L,TARAVAL,0,168,12,0
2026-02-14,LOWL,LOWL,OWL TARAVAL,3,33,6,0
2026-02-14,M,M,OCEAN VIEW,0,172,14,0
2026-02-14,N,N,JUDAH,0,173,17,0
2026-02-14,NBUS,NBUS,JUDAH BUS,3,19,10,0
2026-02-14,NOWL,NOWL,OWL JUDAH,3,23,4,0
2026-02-14,PH,PH,POWELL-HYDE CABLE CAR,5,225,11,0
2026-02-14,PM,PM,POWELL-MASON CABLE CAR,5,186,9,0
2026-02-14,T,T,THIRD,0,173,13,0
2026-02-14,TBUS,TBUS,THIRD BUS,3,22,9,0
2026-02-15,1,1,CALIFORNIA,3,229,12,0
2026-02-15,12,12,FOLSOM-PACIFIC,3,152,10,0
2026-02-15,14,14,MISSION,3,309,28,0
2026-02-15,14R,14R,MISSION RAPID,3,183,15,0
2026-02-15,15,15,BAYVIEW HUNTERS POINT EXPRESS,3,130,9,0
2026-02-15,18,18,46TH AVENUE,3,96,5,0
2026-02-15,19,19,POLK,3,102,7,0
2026-02-15,2,2,SUTTER,3,76,4,0
2026-02-15,22,22,FILLMORE,3,305,21,0
2026-02-15,23,23,MONTEREY,3,67,5,0
2026-02-15,24,24,DIVISADERO,3,202,14,0
2026-02-15,25,25,TREASURE ISLAND,3,110,4,0
2026-02-15,27,27,BRYANT,3,103,8,0
2026-02-15,28,28,19TH AVENUE,3,170,18,0
2026-02-15,29,29,SUNSET,3,166,15,0
2026-02-15,30,30,STOCKTON,3,192,13,0
2026-02-15,31,31,BALBOA,3,110,6,0
2026-02-15,33,33,ASHBURY-18TH ST,3,98,7,0
2026-02-15,35,35,EUREKA,3,57,2,0
2026-02-15,36,36,TERESITA,3,58,3,0
2026-02-15,37,37,CORBETT,3,54,3,0
2026-02-15,38,38,GEARY,3,228,24,0
2026-02-15,38R,38R,GEARY RAPID,3,174,12,0
2026-02-15,39,39,COIT,3,62,2,0
2026-02-15,43,43,MASONIC,3,112,10,0
2026-02-15,44,44,O'SHAUGHNESSY,3,188,15,0
2026-02-15,45,45,UNION-STOCKTON,3,142,7,0
2026-02-15,48,48,QUINTARA-24TH STREET,3,128,10,0
2026-02-15,49,49,VAN NESS-MISSION,3,263,19,0
2026-02-15,5,5,FULTON,3,319,22,0
2026-02-15,52,52,EXCELSIOR,3,58,2,0
2026-02-15,54,54,FELTON,3,95,9,0
2026-02-15,55,55,DOGPATCH,3,104,3,0
2026-02-15,56,56,RUTLAND,3,85,2,0
2026-02-15,57,57,PARKMERCED,3,92,3,0
2026-02-15,58,58,LAKE MERCED,3,66,3,0
2026-02-15,6,6,HAYES-PARNASSUS,3,115,5,0
2026-02-15,66,66,QUINTARA,3,86,2,0
2026-02-15,67,67,BERNAL HEIGHTS,3,98,2,0
2026-02-15,7,7,HAIGHT-NORIEGA,3,157,12,0
2026-02-15,8,8,BAYSHORE,3,262,26,0
2026-02-15,9,9,SAN BRUNO,3,187,18,0
2026-02-15,90,90,SAN BRUNO OWL,3,21,3,0
2026-02-15,91,91,3RD-19TH AVE OWL,3,25,8,0
2026-02-15,CA,CA,CALIFORNIA STREET CABLE CAR,5,146,6,0
2026-02-15,F,F,MARKET & WHARVES,0,142,14,0
2026-02-15,FBUS,FBUS,MARKET & WHARVES BUS,0,6,5,0
2026-02-15,J,J,CHURCH,0,153,11,0
2026-02-15,K,K,INGLESIDE,0,146,8,0
2026-02-15,KBUS,KBUS,INGLESIDE BUS,3,24,9,0
2026-02-15,L,L,TARAVAL,0,168,12,0
